bolgeid	il
1	Adana
4	Adıyaman
3	Afyonkarahisar
2	Ağrı
6	Amasya
5	Ankara
1	Antalya
6	Artvin
3	Aydın
7	Balıkesir
7	Bilecik
2	Bingöl
2	Bitlis
6	Bolu
1	Burdur
7	Bursa
7	Çanakkale
5	Çankırı
6	Çorum
3	Denizli
4	Diyarbakır
7	Edirne
2	Elazığ
2	Erzincan
2	Erzurum
5	Eskişehir
4	Gaziantep
6	Giresun
6	Gümüşhane
2	Hakkari
1	Hatay
1	Isparta
1	Mersin
7	İstanbul
3	İzmir
2	Kars
6	Kastamonu
5	Kayseri
7	Kırklareli
5	Kırşehir
7	Kocaeli
5	Konya
3	Kütahya
2	Malatya
3	Manisa
1	Kahramanmaraş
4	Mardin
3	Muğla
2	Muş
5	Nevşehir
5	Niğde
6	Ordu
6	Rize
7	Sakarya
6	Samsun
4	Siirt
6	Sinop
5	Sivas
7	Tekirdağ
6	Tokat
6	Trabzon
2	Tunceli
4	Şanlıurfa
3	Uşak
2	Van
5	Yozgat
6	Zonguldak
5	Aksaray
6	Bayburt
5	Karaman
5	Kırıkkale
4	Batman
4	Şırnak
6	Bartın
2	Ardahan
2	Iğdır
7	Yalova
6	Karabük
4	Kilis
1	Osmaniye
6	Düzce

